"","Year","Period","Geo Level","State","Market","Action","Measure","Metric","Value"
"448",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"449",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"450",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","200"
"451",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"452",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"453",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","30,600"
"454",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","ACRES HARVESTED",NA,NA,NA,"1,000"
"455",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","ACRES PLANTED",NA,NA,NA,"1,100"
"456",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA",NA,"PRODUCTION",NA,"MEASURED IN $","21,375,000"
"457",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA",NA,"PRODUCTION",NA,"MEASURED IN CWT","125,000"
"458",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","125"
"459",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","21,375,000"
"460",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","125,000"
"461",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"462",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","0"
"463",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","0"
"464",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","0"
"465",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","125,000"
"466",2018,"YEAR - AUG FORECAST","STATE","OREGON","ACRES HARVESTED",NA,NA,NA,"1,100"
"467",2018,"YEAR - AUG FORECAST","STATE","OREGON","ACRES PLANTED",NA,NA,NA,"1,300"
"468",2018,"YEAR - AUG FORECAST","STATE","OREGON",NA,"PRODUCTION",NA,"MEASURED IN $","11,687,000"
"469",2018,"YEAR - AUG FORECAST","STATE","OREGON",NA,"PRODUCTION",NA,"MEASURED IN CWT","110,000"
"470",2018,"YEAR - AUG FORECAST","STATE","OREGON","YIELD",NA,NA,"MEASURED IN CWT / ACRE","100"
"471",2018,"YEAR - AUG FORECAST","STATE","OREGON","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"472",2018,"YEAR - AUG FORECAST","STATE","OREGON","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"473",2018,"YEAR - AUG FORECAST","STATE","OREGON","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","700"
"474",2018,"YEAR - AUG FORECAST","STATE","OREGON","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"475",2018,"YEAR - AUG FORECAST","STATE","OREGON","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"476",2018,"YEAR - AUG FORECAST","STATE","OREGON","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","109,300"
"477",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","12,288,000"
"478",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","58,100"
"479",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"MEASURED IN $","14,795,000"
"480",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","167,600"
"481",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","ACRES HARVESTED",NA,NA,NA,"820"
"482",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","ACRES PLANTED",NA,NA,NA,"900"
"483",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON",NA,"PRODUCTION",NA,"MEASURED IN $","9,167,000"
"484",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON",NA,"PRODUCTION",NA,"MEASURED IN CWT","86,100"
"485",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","YIELD",NA,NA,"MEASURED IN CWT / ACRE","105"
"486",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"487",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"488",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","300"
"489",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"490",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"491",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","85,800"
